"Task Id",Reference,Project,Status,Category,Swimlane,Column,Position,Color,"Due date",Creator,"Creator Name","Assignee Username","Assignee Name",Complexity,Title,"Creation date","Modification date","Completion date","Start date","Time estimated","Time spent",Priority,Tags
143,,"PROJET GENIE LOGICIEL M1",Open,"Cahier de Test","Default swimlane",Backlog,1,Yellow,"06/11/2019 23:00",mavitrika,mavitrika,eclair11,,0,"Reflexion + redaction : 25 - 50 cas de test pour valider les 1/3 des specs","02/10/2019 09:47","02/10/2019 09:57",,"01/11/2019 00:00",0,0,2,
144,,"PROJET GENIE LOGICIEL M1",Open,"Cahier de Test","Default swimlane",Backlog,2,Green,"06/11/2019 23:00",mavitrika,mavitrika,mavitrika,mavitrika,0,"Reflexion + redaction : 25 - 50 cas de test pour valider les 1/3 des specs","02/10/2019 09:49","02/10/2019 09:58",,"01/11/2019 00:00",0,0,0,
145,,"PROJET GENIE LOGICIEL M1",Open,"Cahier de Test","Default swimlane",Backlog,3,Blue,"06/11/2019 23:00",mavitrika,mavitrika,Ibrah,"Ibrahima Diallo",0,"Reflexion + redaction : 25 - 50 cas de test pour valider les 1/3 des specs","02/10/2019 09:49","02/10/2019 09:58",,"01/11/2019 00:00",0,0,0,
146,,"PROJET GENIE LOGICIEL M1",Open,"Diagramme UML","Default swimlane",Backlog,4,Yellow,"01/12/2019 23:59",eclair11,,eclair11,,0,"Réalisation de 1/3 des diagrammes UML","02/10/2019 12:52","04/10/2019 19:04",,"07/11/2019 00:00",0,0,0,
147,,"PROJET GENIE LOGICIEL M1",Open,"Diagramme UML","Default swimlane",Backlog,5,Blue,"01/12/2019 23:59",eclair11,,Ibrah,"Ibrahima Diallo",0,"Réalisation de 1/3 des diagrammes UML","02/10/2019 12:55","04/10/2019 19:04",,"07/11/2019 00:00",0,0,0,
148,,"PROJET GENIE LOGICIEL M1",Open,"Diagramme UML","Default swimlane",Backlog,6,Green,"01/12/2019 23:59",eclair11,,mavitrika,mavitrika,0,"Réalisation de 1/3 des diagrammes UML","02/10/2019 12:56","04/10/2019 19:04",,"07/11/2019 00:00",0,0,0,
149,,"PROJET GENIE LOGICIEL M1",Open,"User Manual","Default swimlane",Backlog,7,Yellow,"19/12/2019 23:59",eclair11,,eclair11,,0,"Rédaction de 1/3 des fonctions dans le User Manual","02/10/2019 23:45","04/10/2019 19:05",,"12/12/2019 00:00",0,0,0,
150,,"PROJET GENIE LOGICIEL M1",Open,"User Manual","Default swimlane",Backlog,8,Blue,"19/12/2019 23:59",eclair11,,Ibrah,"Ibrahima Diallo",0,"Rédaction de 1/3 des fonctions dans le User Manual","02/10/2019 23:45","04/10/2019 19:05",,"12/12/2019 00:00",0,0,0,
151,,"PROJET GENIE LOGICIEL M1",Open,"User Manual","Default swimlane",Backlog,9,Green,"19/12/2019 23:59",eclair11,,mavitrika,mavitrika,0,"Rédaction de 1/3 des fonctions dans le User Manual","02/10/2019 23:46","04/10/2019 19:05",,"12/12/2019 00:00",0,0,0,
152,,"PROJET GENIE LOGICIEL M1",Open,,"Default swimlane",Backlog,10,"Dark Grey","12/01/2020 23:59",eclair11,,,,0,"Mise en place de l'environnement de travail","02/10/2019 23:52","02/10/2019 23:52",,"06/01/2020 00:00",0,0,0,
153,,"PROJET GENIE LOGICIEL M1",Open,Planification,"Default swimlane",Done,2,Green,"05/10/2019 00:00",mavitrika,mavitrika,mavitrika,mavitrika,0,"Planification des formations","03/10/2019 09:10","03/10/2019 19:22",,,0.5,0,0,
154,,"PROJET GENIE LOGICIEL M1",Open,"Session Formation","Default swimlane",Backlog,11,Yellow,"05/01/2020 00:00",mavitrika,mavitrika,eclair11,,0,"Prise en main nouvelle technologie et/ou bibliothèque","03/10/2019 19:11","03/10/2019 19:14",,"22/12/2019 23:00",20,0,1,
155,,"PROJET GENIE LOGICIEL M1",Open,"Session Formation","Default swimlane",Backlog,12,Blue,"05/01/2020 00:00",mavitrika,mavitrika,Ibrah,"Ibrahima Diallo",0,"Prise en main nouvelle technologie et/ou bibliothèque","03/10/2019 19:12","03/10/2019 19:13",,"22/12/2019 00:00",20,0,1,
156,,"PROJET GENIE LOGICIEL M1",Open,"Session Formation","Default swimlane",Backlog,13,Green,"05/01/2020 00:00",mavitrika,mavitrika,mavitrika,mavitrika,0,"Prise en main nouvelle technologie et/ou bibliothèque","03/10/2019 19:13","03/10/2019 19:14",,"22/12/2019 00:00",20,0,1,
157,,"PROJET GENIE LOGICIEL M1",Open,"Session Formation","Default swimlane",Backlog,14,Green,"05/01/2020 23:00",mavitrika,mavitrika,mavitrika,mavitrika,0,"Formation bonne pratique de codage, outils de versionning, outils de test d'intégration, test unitaire, générateur de données de test, ","03/10/2019 19:20","03/10/2019 19:20",,"01/01/2020 00:00",30,0,2,
158,,"PROJET GENIE LOGICIEL M1",Open,"Session Formation","Default swimlane",Backlog,15,Blue,"05/01/2020 23:00",mavitrika,mavitrika,Ibrah,"Ibrahima Diallo",0,"Formation bonne pratique de codage, outils de versionning, outils de test d'intégration, test unitaire, générateur de données de test, ","03/10/2019 19:20","03/10/2019 19:22",,"01/01/2020 00:00",30,0,2,
159,,"PROJET GENIE LOGICIEL M1",Open,"Session Formation","Default swimlane",Backlog,16,Yellow,"05/01/2020 23:00",mavitrika,mavitrika,eclair11,,0,"Formation bonne pratique de codage, outils de versionning, outils de test d'intégration, test unitaire, générateur de données de test, ","03/10/2019 19:20","03/10/2019 19:22",,"01/01/2020 00:00",30,0,2,
170,,"PROJET GENIE LOGICIEL M1",Open,"Developpement et Test unitaire","Default swimlane",Backlog,17,Green,"01/03/2020 23:00",mavitrika,mavitrika,mavitrika,mavitrika,0,"Développement : Code + Test unitaire 1/2 des fonctionnalités métiers de l'application ","04/10/2019 18:15","04/10/2019 18:17",,"12/01/2020 00:00",0,0,3,
171,,"PROJET GENIE LOGICIEL M1",Open,"Developpement et Test unitaire","Default swimlane",Backlog,18,Yellow,"01/03/2020 23:00",mavitrika,mavitrika,eclair11,,0,"Développement : Code + Test unitaire 1/2 des fonctionnalités métiers de l'application ","04/10/2019 18:18","04/10/2019 18:19",,"12/01/2020 00:00",0,0,3,
172,,"PROJET GENIE LOGICIEL M1",Open,"Developpement et Test unitaire","Default swimlane",Backlog,19,Blue,"01/03/2020 23:00",mavitrika,mavitrika,Ibrah,"Ibrahima Diallo",0,"Développement : des intérfaces utilisateur de l'application ","04/10/2019 18:18","04/10/2019 18:20",,"12/01/2020 00:00",0,0,3,
173,,"PROJET GENIE LOGICIEL M1",Open,Planification,"Default swimlane",Done,4,Green,,mavitrika,mavitrika,mavitrika,mavitrika,0,"Planification Doc Test d'intégration","04/10/2019 18:25","04/10/2019 18:36",,,0,0,0,
174,,"PROJET GENIE LOGICIEL M1",Open,"Doc du Test d'integration","Default swimlane",Backlog,20,Yellow,"14/12/2019 23:00",mavitrika,mavitrika,eclair11,,0,"Réfléchir et rédiger les Tests d'intégrations nécessaire pour 1/3 des fonctionnalités de l'application ","04/10/2019 18:31","04/10/2019 18:31",,"07/12/2019 00:00",0,0,0,
175,,"PROJET GENIE LOGICIEL M1",Open,"Doc du Test d'integration","Default swimlane",Backlog,21,Green,"14/12/2019 23:00",mavitrika,mavitrika,mavitrika,mavitrika,0,"Réfléchir et rédiger les Tests d'intégrations nécessaire pour 1/3 des fonctionnalités de l'application ","04/10/2019 18:31","04/10/2019 18:33",,"07/12/2019 00:00",0,0,0,
176,,"PROJET GENIE LOGICIEL M1",Open,"Doc du Test d'integration","Default swimlane",Backlog,22,Blue,"14/12/2019 23:00",mavitrika,mavitrika,Ibrah,"Ibrahima Diallo",0,"Réfléchir et rédiger les Tests d'intégrations nécessaire pour 1/3 des fonctionnalités de l'application ","04/10/2019 18:31","04/10/2019 18:33",,"07/12/2019 00:00",0,0,0,
177,,"PROJET GENIE LOGICIEL M1",Open,"Test d'intégration","Default swimlane",Backlog,23,Yellow,"07/03/2020 23:59",eclair11,,eclair11,,0,"Réalisation de 1/3 des tests d'intégration","04/10/2019 19:07","04/10/2019 19:10",,"01/03/2020 00:00",0,0,0,
178,,"PROJET GENIE LOGICIEL M1",Open,"Test d'intégration","Default swimlane",Backlog,24,Blue,"07/03/2020 23:59",eclair11,,Ibrah,"Ibrahima Diallo",0,"Réalisation de 1/3 des tests d'intégration","04/10/2019 19:10","04/10/2019 19:10",,"01/03/2020 00:00",0,0,0,
179,,"PROJET GENIE LOGICIEL M1",Open,"Test d'intégration","Default swimlane",Backlog,25,Green,"07/03/2020 23:59",eclair11,,mavitrika,mavitrika,0,"Réalisation de 1/3 des tests d'intégration","04/10/2019 19:11","04/10/2019 19:11",,"01/03/2020 00:00",0,0,0,
